name,yield,price,cost,costCont,Nreq,IEprevcrop,DEcrop,NboostperTonne,weedsurvival,compindex,sowdensity,weedseedreturn,watermult,label,hide,extracostperextrayield
wheat,2.5,292,270,270,60,1.25,0.2,0,0.1,0.25,80,1,1,W,n,0
canola,1.3,546,373,373,80,0.38,0,0,0.03,0.87,40,1,1,C,n,0
barley,3,273,270,270,40,0.4,0,17,0.03,0.69,50,1,1,B,n,0
vpasture,2.5,169,269,0,0,0.55,0,8,0.03,0.17,200,0.4,1,VP,n,0
ipasture,5.2,103,255,0,0,0.4,0,15,0.02,0.17,200,0.4,1,IP,n,0
npasture,5.75,100,253,0,0,0.4,0,25,0.05,0.17,200,0.4,1,NP,n,0
